,id,income,recency,wines,fruits,meat,fish,sweets,gold,customers_engagement,age,kids,total_amount_spent,marital_status,education
367,4432,31615.0,82,2,3,20,6,11,9,1,38,1,51,Single,PG
368,5955,72025.0,27,833,33,549,151,133,233,2,52,0,1932,In relationship,PG
369,2928,52614.0,63,789,0,142,12,9,38,2,39,1,990,Single,PG
370,5680,35684.0,66,10,4,7,0,6,3,0,30,1,30,In relationship,PG
371,10313,48178.0,69,159,4,45,6,2,38,2,39,2,254,In relationship,PG
372,2557,29548.0,52,7,1,6,3,1,11,1,44,1,29,Single,PG
373,1245,63810.0,45,977,12,253,16,12,101,2,48,1,1371,Single,PG
374,1519,38578.0,2,38,4,22,3,3,3,1,42,2,73,Single,PG
375,10703,46098.0,86,57,0,27,0,0,36,2,39,2,120,Single,PG
376,1726,22585.0,23,3,9,15,13,2,39,1,44,0,81,Single,PG
377,4459,30279.0,13,10,4,14,4,4,1,2,25,1,37,Single,PG
378,1729,66426.0,14,1043,24,97,32,24,157,1,53,1,1377,In relationship,PG
379,1517,30822.0,92,3,9,13,2,12,12,1,45,1,51,Single,PG
380,2098,33581.0,38,11,0,5,0,0,1,1,45,2,17,In relationship,PG
381,9543,19986.0,74,3,6,5,0,2,6,1,29,1,22,In relationship,PG
382,6878,27421.0,14,43,12,96,78,40,55,2,60,0,324,Single,PG
383,3310,35688.0,94,73,3,90,12,1,32,2,41,3,211,In relationship,PG
384,2724,36143.0,33,12,0,1,0,0,6,0,33,1,19,Single,PG
385,948,10245.0,32,4,7,7,6,4,13,1,43,1,41,Single,PG
386,6720,43795.0,11,314,11,53,4,3,107,1,46,1,492,In relationship,PG
387,6202,63381.0,78,571,50,142,33,50,159,2,54,1,1005,In relationship,PG
388,2066,38823.0,56,70,0,11,2,8,23,2,65,1,114,In relationship,PG
389,9799,83664.0,57,866,21,151,28,21,86,1,46,2,1173,Single,PG
390,8318,90300.0,7,594,134,786,33,134,57,0,35,0,1738,In relationship,PG
391,5642,62499.0,0,140,4,61,0,13,4,1,35,1,222,In relationship,PG
392,2669,74293.0,66,375,152,335,93,91,81,0,21,0,1127,Single,PG
393,455,51012.0,86,102,9,63,2,9,24,1,68,0,209,In relationship,PG
394,7683,70777.0,80,554,35,113,0,7,78,0,46,1,787,In relationship,PG
395,3428,68682.0,56,919,0,505,99,30,45,1,23,0,1598,In relationship,PG
396,7414,43824.0,18,96,1,42,12,3,32,2,43,2,186,In relationship,PG
397,6354,15345.0,51,5,2,16,3,2,19,2,30,1,47,In relationship,PG
398,798,23442.0,71,2,0,6,8,6,5,2,27,1,27,Single,PG
399,8213,14515.0,71,6,4,9,6,36,35,2,34,1,96,In relationship,PG
400,2488,31395.0,80,23,1,25,0,8,7,1,58,2,64,Single,PG
401,9999,75276.0,2,610,105,125,137,42,21,2,49,0,1040,In relationship,PG
402,7617,42373.0,83,67,5,61,3,8,19,1,40,2,163,Single,PG
403,615,30507.0,29,65,36,74,38,20,110,1,54,0,343,In relationship,PG
404,2552,55521.0,11,416,0,26,0,0,4,1,59,3,446,Single,PG
405,194,48006.0,55,23,0,11,3,2,2,0,49,2,41,In relationship,PG
406,3645,27213.0,19,19,3,26,10,9,3,2,42,1,70,Single,PG
407,8890,65808.0,1,155,7,80,13,7,10,0,43,2,272,Single,PG
408,5049,30351.0,19,14,0,24,3,3,2,1,40,1,46,In relationship,PG
409,9973,50437.0,28,370,9,92,6,9,4,2,51,2,490,In relationship,PG
410,7301,23616.0,76,4,22,11,3,7,32,2,32,1,79,Single,PG
411,10882,53858.0,50,407,53,221,58,150,26,2,38,1,915,In relationship,PG
412,7030,66465.0,1,1200,0,204,38,29,14,1,59,1,1485,In relationship,PG
413,7422,46923.0,90,85,44,54,102,78,6,2,27,1,369,Single,PG
414,3523,75072.0,83,583,34,309,0,22,125,1,52,1,1073,In relationship,PG
415,7106,75865.0,73,483,0,591,156,0,12,0,71,0,1242,In relationship,PG
416,6504,19789.0,24,2,5,9,28,6,28,1,39,1,78,In relationship,PG
417,5067,80134.0,11,966,26,282,52,26,26,0,20,0,1378,In relationship,PG
418,4216,91065.0,33,822,114,108,179,137,114,1,33,0,1474,Single,PG
419,8581,49505.0,4,604,0,100,19,0,28,1,43,2,751,In relationship,PG
420,5929,37401.0,14,19,3,19,3,1,3,0,41,1,48,In relationship,PG
421,3129,30096.0,30,5,3,11,12,5,9,0,31,1,45,In relationship,PG
422,6528,18492.0,75,2,2,2,2,1,1,0,32,1,10,In relationship,PG
423,1361,82584.0,26,1076,68,103,29,91,68,1,40,0,1435,In relationship,PG
424,6932,93027.0,77,1285,42,716,55,0,21,1,73,0,2119,In relationship,PG
425,7284,48686.0,8,10,0,7,2,0,1,1,61,3,20,In relationship,PG
426,1340,92910.0,42,551,137,792,179,103,33,0,28,0,1795,In relationship,PG
427,8746,75433.0,28,800,0,297,0,34,57,0,25,1,1188,In relationship,PG
428,5987,10404.0,52,2,2,11,10,6,12,0,25,1,43,In relationship,PG
429,3767,61314.0,1,378,0,189,97,172,172,1,46,1,1008,In relationship,PG
430,3725,84865.0,1,1248,16,349,43,16,16,1,53,0,1688,Single,PG
431,4324,42387.0,42,235,0,235,19,4,191,2,25,1,684,In relationship,PG
432,238,67309.0,76,515,47,181,149,95,95,1,47,2,1082,In relationship,PG
433,6694,75236.0,27,438,66,400,12,38,114,1,50,1,1068,In relationship,PG
434,498,30015.0,28,25,0,22,2,3,5,0,44,1,57,Single,PG
435,9347,50943.0,49,31,0,7,2,0,6,1,58,1,46,In relationship,PG
436,9699,67272.0,12,357,35,271,28,28,14,1,48,1,733,Single,PG
437,10664,51529.0,14,400,4,35,6,0,22,1,65,1,467,Single,PG
438,5455,32011.0,89,99,0,15,2,1,5,1,43,1,122,In relationship,PG
439,456,7500.0,96,1,11,5,4,6,9,1,28,1,36,In relationship,PG
440,5012,28691.0,56,5,4,13,8,0,4,1,25,1,34,In relationship,PG
441,7495,56223.0,72,77,28,31,16,0,4,1,66,1,156,In relationship,PG
442,5029,18100.0,14,3,1,2,4,3,1,1,68,0,14,In relationship,PG
443,10642,30279.0,13,10,4,14,4,4,1,2,25,1,37,Single,PG
444,2106,20130.0,99,0,6,3,7,6,12,0,40,0,34,In relationship,PG
445,10364,23295.0,72,0,0,1,2,12,5,1,55,0,20,Single,PG
446,5954,42618.0,92,76,14,74,13,5,10,1,42,1,192,Single,PG
447,1137,81246.0,87,398,190,537,61,156,37,1,50,0,1379,Single,PG
448,2541,24027.0,7,14,7,11,11,0,5,1,38,1,48,In relationship,PG
449,1142,55707.0,91,208,7,82,30,66,35,1,61,1,428,In relationship,PG
450,2276,57959.0,71,430,16,322,43,24,33,1,59,1,868,Single,PG
451,2807,56796.0,24,656,38,161,62,47,37,1,45,1,1001,In relationship,PG
452,6471,36230.0,17,14,2,30,8,2,3,1,43,1,59,Single,PG
453,6131,70829.0,87,141,70,106,72,19,23,1,34,2,431,In relationship,PG
454,6233,65991.0,21,507,19,364,25,47,9,2,38,1,971,In relationship,PG
455,4148,38988.0,90,164,24,103,12,3,42,2,42,3,348,In relationship,PG
456,4947,89572.0,44,606,24,974,197,194,64,2,48,0,2059,Single,PG
457,3225,42207.0,71,116,11,72,3,17,46,1,30,1,265,In relationship,PG
458,7540,50300.0,52,143,15,60,24,23,5,0,62,1,270,In relationship,PG
459,10648,66664.0,78,398,96,447,220,96,32,2,32,0,1289,In relationship,PG
460,1992,60597.0,2,522,0,257,32,16,66,0,50,1,893,In relationship,PG
461,7851,70165.0,60,161,0,253,199,191,122,1,65,0,926,Single,PG
462,8594,50520.0,25,112,0,6,2,1,14,0,56,1,135,Single,PG
463,7059,80124.0,47,483,84,398,205,84,241,0,51,0,1495,In relationship,PG
464,2815,33183.0,46,7,5,39,17,15,37,0,39,1,120,In relationship,PG
465,2416,66582.0,83,789,25,420,16,38,0,0,45,0,1288,Single,PG
466,7999,75261.0,17,1239,17,413,23,34,17,1,59,0,1743,In relationship,PG
467,9213,31880.0,13,4,1,5,2,0,3,2,44,1,15,Single,PG
468,9697,53790.0,86,335,42,127,28,5,5,0,63,2,542,In relationship,PG
469,3916,49269.0,92,639,8,166,11,8,58,2,43,1,890,In relationship,PG
470,2021,61456.0,47,563,76,384,84,192,89,1,39,1,1388,In relationship,PG
471,1581,37406.0,18,2,0,8,2,2,3,1,34,1,17,In relationship,PG
472,564,56937.0,81,746,8,125,11,8,8,2,33,1,906,In relationship,PG
473,6619,38415.0,91,22,1,13,4,0,4,1,36,2,44,In relationship,PG
474,9081,20518.0,58,4,1,6,4,1,9,0,26,1,25,Single,PG
475,178,62503.0,40,478,0,193,110,75,117,1,58,1,973,In relationship,PG
476,916,41644.0,67,20,3,4,2,0,2,0,42,2,31,Single,PG
477,5512,55842.0,19,451,0,39,0,4,24,0,37,1,518,In relationship,PG
478,8970,62010.0,93,371,22,39,6,0,92,2,42,1,530,In relationship,PG
479,10581,41124.0,41,281,7,84,15,0,119,2,37,1,506,In relationship,PG
480,5300,38961.0,60,19,7,19,0,1,24,1,41,1,70,In relationship,PG
481,5154,37760.0,54,26,3,13,2,10,0,1,42,1,54,Single,PG
482,8346,32233.0,26,138,15,35,25,11,72,2,40,1,296,Single,PG
483,1676,43057.0,30,213,2,44,0,2,5,1,39,1,266,In relationship,PG
484,9286,83151.0,93,407,28,100,120,74,18,2,54,0,747,In relationship,PG
485,2426,78825.0,35,483,74,114,169,37,18,2,50,0,895,Single,PG
486,5172,65104.0,4,738,0,232,13,20,50,1,38,1,1053,In relationship,PG
487,5562,60093.0,92,502,12,109,16,6,90,1,40,1,735,In relationship,PG
488,3436,14045.0,24,11,0,5,2,1,1,0,45,1,20,In relationship,PG
489,3921,28457.0,96,24,1,108,29,29,14,2,62,0,205,Single,PG
490,3403,78952.0,11,1170,19,594,99,76,134,2,56,1,2092,In relationship,PG
491,22,46310.0,99,185,2,88,15,5,14,2,38,1,309,Single,PG
492,10965,76005.0,72,983,20,389,240,50,40,1,59,0,1722,In relationship,PG
493,9426,58308.0,77,691,0,69,10,0,130,1,50,1,900,Single,PG
494,6605,55614.0,85,504,13,131,8,0,26,1,70,0,682,Single,PG
495,3136,59432.0,88,317,25,265,25,19,12,1,52,1,663,Single,PG
496,8737,55563.0,22,29,1,9,2,0,2,0,36,1,43,Single,PG
497,11088,78642.0,83,1396,0,322,46,35,17,1,43,1,1816,In relationship,PG
498,716,67911.0,63,529,0,356,63,28,0,0,65,1,976,In relationship,PG
499,466,65275.0,9,388,14,218,91,14,21,1,70,0,746,In relationship,PG
500,9135,27203.0,92,13,2,21,4,0,24,2,64,2,64,In relationship,PG
501,10623,48330.0,2,28,0,4,0,0,0,1,53,1,32,In relationship,PG
502,8151,24279.0,6,16,36,21,20,62,108,2,24,0,263,In relationship,UG
503,5140,64355.0,66,1047,0,140,67,38,153,2,29,1,1445,In relationship,PG
504,10160,50943.0,49,31,0,7,2,0,6,1,58,1,46,In relationship,PG
505,4945,53653.0,29,815,10,239,28,10,108,2,61,0,1210,Single,PG
506,10584,65665.0,77,225,162,387,106,36,29,1,38,1,945,In relationship,PG
507,6071,81217.0,77,493,70,324,146,40,84,1,25,0,1157,Single,PG
508,3386,34935.0,71,34,4,66,3,10,20,1,22,0,137,In relationship,PG
509,8939,61250.0,49,382,138,65,60,26,59,2,55,1,730,Single,PG
510,9925,39665.0,97,127,1,56,0,1,31,1,33,1,216,In relationship,PG
511,4320,60152.0,6,325,83,300,86,58,91,1,35,1,943,Single,PG
512,5389,48920.0,93,238,17,68,8,10,6,1,50,2,347,In relationship,PG
513,6036,89120.0,78,1168,92,408,72,129,55,0,55,0,1924,In relationship,PG
514,182,44124.0,62,284,0,55,0,6,52,1,68,1,397,In relationship,PG
515,203,81169.0,47,1288,20,613,80,61,27,1,39,0,2089,Single,PG
516,11025,36443.0,9,65,0,46,4,3,20,1,53,2,138,In relationship,PG
517,10203,26095.0,77,11,7,9,3,1,11,1,24,1,42,Single,PG
518,4607,71367.0,24,227,23,389,42,21,75,1,55,0,777,In relationship,PG
519,3711,80184.0,19,1035,134,670,25,38,0,0,70,0,1902,In relationship,PG
520,3696,30630.0,67,27,1,12,2,0,10,0,49,2,52,Single,PG
521,2532,73454.0,95,982,73,351,56,14,175,0,27,0,1651,Single,PG
522,9214,42691.0,48,179,2,64,38,17,58,1,23,0,358,In relationship,PG
523,4943,70503.0,73,1379,33,216,0,33,66,2,61,0,1727,In relationship,PG
524,35,25545.0,35,32,1,64,16,12,85,2,27,1,210,In relationship,PG
525,2258,32880.0,76,8,4,15,7,6,2,2,28,1,42,In relationship,PG
526,4322,77863.0,20,881,38,319,16,25,12,1,56,0,1291,In relationship,PG
527,713,50353.0,72,141,15,153,67,31,35,0,37,0,442,In relationship,PG
528,4702,61839.0,20,1000,155,379,224,17,120,2,50,0,1895,Single,PG
529,3281,49154.0,69,206,10,67,30,27,71,1,54,2,411,In relationship,PG
530,702,47682.0,80,162,61,83,97,57,61,1,39,1,521,Single,PG
531,2004,72679.0,65,619,54,260,127,54,54,1,45,1,1168,Single,PG
532,4769,57954.0,52,456,4,24,0,0,9,0,37,2,493,In relationship,PG
533,4437,65316.0,65,112,6,92,3,9,38,1,52,2,260,In relationship,PG
534,8724,28567.0,57,11,3,22,2,2,6,1,32,1,46,Single,PG
535,10741,47352.0,70,172,12,112,8,0,15,1,63,1,319,In relationship,PG
536,1991,44931.0,0,78,0,11,0,0,7,0,47,1,96,In relationship,PG
537,6931,76982.0,19,464,151,292,65,60,30,0,47,0,1062,Single,PG
538,11096,57247.0,50,99,4,32,37,54,6,1,62,1,232,In relationship,PG
539,304,22944.0,67,19,3,19,4,5,26,1,33,1,76,Single,PG
540,3665,25315.0,46,1,9,8,11,3,22,1,37,1,54,In relationship,PG
541,10591,43638.0,37,63,10,83,7,19,19,2,45,1,201,Single,PG
542,5036,42710.0,38,252,3,42,4,3,102,2,30,1,406,Single,PG
543,5547,84169.0,9,1478,19,403,0,19,0,1,32,0,1919,In relationship,PG
544,7822,54058.0,56,198,18,252,32,108,54,1,38,1,662,In relationship,PG
545,8541,24683.0,98,8,4,10,6,7,6,0,24,1,41,In relationship,PG
546,10955,85620.0,68,416,46,925,60,107,46,0,50,0,1600,Single,PG
547,4368,47850.0,72,42,7,43,20,12,10,1,34,1,134,In relationship,PG
548,9671,19514.0,47,14,3,21,2,1,28,0,46,2,69,In relationship,PG
549,2256,27159.0,33,17,0,3,0,0,1,0,41,2,21,In relationship,PG
550,4279,39548.0,87,15,4,10,3,4,18,0,51,2,54,Single,PG
551,5371,21474.0,0,6,16,24,11,0,34,0,25,1,91,Single,PG
552,9240,60504.0,73,458,0,24,6,4,34,0,43,1,526,Single,PG
553,9460,22419.0,74,30,3,47,19,21,42,1,51,0,162,In relationship,PG
554,9504,81698.0,4,179,28,520,111,123,47,1,65,0,1008,In relationship,PG
555,8692,43462.0,50,90,17,97,15,6,15,2,62,2,240,In relationship,PG
556,448,54880.0,57,308,85,137,102,45,118,1,36,1,795,Single,PG
557,8314,79908.0,30,557,129,761,29,185,111,1,32,0,1772,In relationship,PG
558,8420,15315.0,27,7,4,13,15,8,17,1,44,0,64,In relationship,PG
559,3174,87771.0,61,1492,38,287,50,57,33,1,55,1,1957,In relationship,PG
560,7685,33039.0,4,30,8,12,8,8,12,1,36,1,78,In relationship,PG
561,3179,81741.0,75,249,153,940,58,134,38,1,34,0,1572,Single,PG
562,9780,71499.0,12,465,25,132,136,0,37,1,43,1,795,In relationship,PG
563,10681,62466.0,13,129,129,259,168,121,83,0,44,1,889,In relationship,PG
564,10232,48799.0,9,174,18,81,28,6,24,1,51,1,331,Single,PG
565,4184,52157.0,48,189,2,29,3,2,40,0,64,1,265,In relationship,PG
566,9120,66565.0,80,747,10,161,65,40,42,2,52,1,1065,Single,PG
567,891,29298.0,60,6,0,2,2,0,1,1,63,2,11,In relationship,PG
568,10381,47691.0,43,14,0,3,0,0,4,1,35,1,21,Single,PG
569,3525,38200.0,19,12,0,4,0,0,1,2,44,2,17,In relationship,PG
570,6818,44989.0,26,98,0,106,49,10,106,2,40,1,369,In relationship,PG
571,3526,38443.0,58,32,0,5,0,0,1,0,46,2,38,In relationship,PG
572,8181,38593.0,42,51,12,49,17,24,24,1,36,1,177,Single,PG
573,1029,64413.0,27,200,5,44,0,10,20,1,44,1,279,In relationship,PG
574,7369,36959.0,56,25,6,25,6,0,0,1,33,1,62,In relationship,PG
575,2574,61996.0,27,1050,12,144,0,0,24,1,37,1,1230,In relationship,PG
576,8159,51287.0,10,117,0,22,13,0,30,0,46,2,182,In relationship,PG
577,1160,13260.0,48,9,4,17,10,2,7,1,44,2,49,In relationship,PG
578,10242,47472.0,39,56,0,11,0,0,8,1,48,2,75,In relationship,PG
579,5253,54603.0,85,145,13,46,17,2,4,1,58,2,227,In relationship,PG
580,5966,45207.0,64,203,0,10,0,0,2,2,40,2,215,In relationship,PG
581,5314,40689.0,69,270,3,27,39,6,99,1,63,1,444,In relationship,PG
582,5081,47821.0,54,9,0,16,6,6,10,1,47,2,47,In relationship,PG
583,5123,27450.0,57,37,12,23,8,11,52,1,63,0,143,In relationship,PG
584,5756,39453.0,64,46,0,7,0,0,2,0,31,1,55,In relationship,PG
585,8036,26850.0,10,31,1,13,7,2,9,0,43,2,63,In relationship,PG
586,9058,79800.0,65,1060,21,530,32,0,224,2,59,0,1867,Single,PG
587,5057,61794.0,74,264,47,188,54,47,11,1,53,1,611,In relationship,PG
588,254,53863.0,4,399,4,30,6,4,30,0,59,1,473,In relationship,PG
589,4179,24221.0,94,8,9,9,2,5,22,1,55,0,55,In relationship,PG
590,3710,39684.0,41,19,0,35,6,4,17,2,30,1,81,Single,PG
591,7627,92163.0,25,817,183,797,106,163,20,2,39,0,2086,In relationship,PG
592,4501,69882.0,94,292,127,635,132,127,165,1,49,0,1478,Single,PG
593,6424,33178.0,9,12,6,2,11,2,16,0,37,1,49,In relationship,PG
594,3075,59973.0,47,130,30,168,20,34,0,1,42,0,382,In relationship,PG
595,4992,17459.0,12,6,4,16,3,10,30,1,39,1,69,In relationship,PG
596,5252,23910.0,80,16,12,18,7,1,13,2,45,1,67,Single,PG
597,7444,42169.0,20,19,0,9,0,0,2,1,45,2,30,In relationship,PG
598,6919,26224.0,39,4,7,15,13,9,15,1,36,1,63,In relationship,PG
599,3537,31089.0,57,31,3,31,2,8,4,2,33,1,79,In relationship,PG
600,10277,30081.0,27,36,0,2,0,0,4,1,53,1,42,Single,PG
601,2453,62807.0,83,526,28,135,10,21,99,2,54,1,819,In relationship,PG
602,7972,72906.0,79,400,32,519,71,75,54,1,59,0,1151,Single,PG
603,895,61467.0,69,410,16,114,0,5,49,2,66,2,594,In relationship,PG
604,1177,49618.0,77,80,3,26,4,2,14,1,48,2,129,In relationship,PG
605,7141,21888.0,15,88,10,46,2,3,64,2,28,1,213,Single,PG
606,7232,42429.0,99,55,0,6,2,0,4,0,41,1,67,Single,PG
607,8477,26150.0,61,5,1,13,3,5,1,1,58,3,28,Single,PG
608,2457,30801.0,23,8,4,5,15,2,11,2,39,1,45,In relationship,UG
609,988,81168.0,84,410,0,592,147,22,22,0,49,0,1193,In relationship,PG
610,7930,26877.0,74,101,13,76,20,18,40,1,45,0,268,Single,PG
611,4587,45006.0,90,162,25,53,16,0,10,1,70,0,266,Single,PG
612,6682,18978.0,41,2,8,1,4,7,15,2,41,1,37,In relationship,UG
613,6222,22574.0,28,25,0,8,2,0,2,1,47,3,37,In relationship,PG
614,10299,48240.0,73,389,91,248,64,49,41,2,45,0,882,Single,PG
615,3083,45837.0,88,215,13,87,17,17,24,1,40,2,373,In relationship,PG
616,8953,35791.0,94,27,0,5,0,0,3,1,49,3,35,Single,PG
617,1503,162397.0,31,85,1,16,2,1,2,1,38,2,107,In relationship,PG
618,8650,54162.0,31,5,6,10,6,5,10,1,36,2,42,Single,PG
619,10862,30522.0,6,179,8,83,19,11,26,2,54,1,326,In relationship,PG
620,2782,54456.0,23,352,0,27,10,0,15,1,53,1,404,In relationship,PG
621,6941,31632.0,92,17,8,12,11,15,32,1,43,0,95,Single,PG
622,10972,72298.0,52,625,35,169,58,17,35,0,65,0,939,Single,PG
623,10708,36975.0,50,10,6,11,0,4,2,1,36,1,33,Single,PG
624,6583,72635.0,54,390,22,323,104,35,107,1,59,0,981,In relationship,PG
625,3641,13624.0,93,10,2,15,2,1,6,1,38,1,36,In relationship,PG
626,10156,84196.0,56,215,63,507,231,31,190,1,39,1,1237,Single,PG
627,4299,70971.0,28,1001,17,572,93,125,17,2,54,1,1825,In relationship,PG
628,3469,34487.0,94,19,18,33,24,1,8,2,37,2,103,Single,PG
629,5063,28769.0,76,41,5,129,10,3,3,2,37,1,191,Single,PG
630,10727,69084.0,43,1181,107,199,39,30,30,1,44,1,1586,In relationship,PG
631,9624,65488.0,46,603,45,207,36,18,54,0,56,0,963,In relationship,PG
632,5156,62466.0,13,129,129,259,168,121,83,0,44,1,889,In relationship,PG
633,4376,32218.0,27,10,24,15,13,1,30,0,54,0,93,Single,PG
634,8923,83917.0,12,514,22,732,42,198,79,1,41,0,1587,Single,PG
635,8461,46102.0,3,14,0,1,0,0,1,0,52,3,16,Single,PG
636,6945,84574.0,72,387,20,713,38,54,163,1,62,0,1375,Single,PG
637,944,56181.0,6,121,103,69,8,44,48,1,52,1,393,In relationship,PG
638,1907,63120.0,53,965,69,279,54,41,69,2,64,1,1477,Single,PG
639,701,73691.0,58,707,21,250,85,43,73,1,43,1,1179,In relationship,PG
640,3856,63381.0,78,571,50,142,33,50,159,2,54,1,1005,In relationship,PG
641,4149,76140.0,57,586,66,653,17,0,26,0,66,0,1348,In relationship,PG
642,2131,62859.0,37,1063,89,102,16,12,25,2,55,1,1307,Single,PG
643,2942,45906.0,20,305,3,27,4,3,144,1,50,1,486,Single,PG
644,1173,77632.0,73,1200,105,758,0,42,147,1,67,0,2252,In relationship,PG
645,4381,46463.0,56,163,2,40,8,11,11,1,43,2,235,In relationship,PG
646,4611,105471.0,36,1009,181,104,202,21,207,1,44,0,1724,In relationship,PG
647,3376,55282.0,9,125,6,73,8,4,19,1,44,1,235,Single,PG
648,4679,78710.0,42,721,0,152,119,50,50,0,37,1,1092,In relationship,PG
649,10928,66886.0,28,315,4,62,41,31,146,1,56,1,599,In relationship,PG
650,4248,98777.0,23,1000,19,711,125,115,38,0,54,0,2008,Single,PG
651,6728,29103.0,38,16,0,17,6,3,6,2,29,1,48,In relationship,PG
652,6661,67445.0,63,757,80,217,29,80,11,2,40,1,1174,In relationship,PG
653,4725,50616.0,71,30,2,25,0,1,9,0,64,1,67,In relationship,PG
654,3277,49431.0,9,219,3,100,26,0,17,2,59,1,365,Single,PG
655,5555,153924.0,81,1,1,1,1,1,1,0,39,0,6,Single,PG
656,2564,61278.0,87,111,3,28,2,6,15,0,61,1,165,In relationship,PG
657,946,26490.0,92,45,47,52,21,20,25,2,56,0,210,In relationship,PG
658,3867,73059.0,36,410,112,420,0,82,71,1,67,1,1095,In relationship,PG
659,6940,46734.0,86,100,1,39,6,1,76,1,48,3,223,Single,PG
660,55,56253.0,83,509,0,65,7,11,5,2,51,1,597,In relationship,PG
661,7093,19986.0,74,3,6,5,0,2,6,1,29,1,22,In relationship,PG
662,5084,58330.0,87,445,53,213,104,98,151,1,39,1,1064,Single,PG
663,1777,25965.0,29,2,2,11,41,7,11,2,34,0,74,In relationship,UG
664,8162,14661.0,88,4,1,11,6,2,2,1,58,0,26,In relationship,PG
665,10826,18690.0,77,6,1,7,23,4,19,2,55,0,60,In relationship,PG
666,8754,45068.0,25,14,0,3,0,0,3,1,40,1,20,In relationship,PG
667,1987,21063.0,34,1,10,11,19,3,15,1,27,1,59,Single,UG
668,11007,29187.0,43,26,0,6,0,0,2,1,46,1,34,In relationship,PG
669,7426,54690.0,76,111,16,37,7,9,18,1,43,2,198,In relationship,PG
670,9153,59304.0,81,418,61,428,80,51,10,1,50,1,1048,In relationship,PG
671,10379,59247.0,87,327,9,122,19,14,83,1,52,2,574,Single,PG
672,9204,66731.0,33,371,159,194,58,106,141,2,44,1,1029,Single,PG
673,3197,77353.0,38,275,59,107,69,101,59,1,34,1,670,In relationship,PG
674,2920,52614.0,63,789,0,142,12,9,38,2,39,1,990,Single,PG
675,6961,26751.0,26,1,1,5,0,3,1,0,40,2,11,In relationship,PG
676,4673,81300.0,17,1004,12,145,32,12,36,2,51,1,1241,In relationship,PG
677,9937,70337.0,75,187,81,149,25,43,91,0,35,0,576,Single,PG
678,8779,36145.0,13,56,4,76,17,1,18,1,29,1,172,In relationship,PG
679,9596,65295.0,19,365,32,117,34,110,6,1,34,0,664,Single,PG
680,2891,68118.0,51,595,23,123,10,23,154,1,51,1,928,Single,PG
681,4910,68743.0,81,1132,134,384,175,134,115,2,47,0,2074,Single,PG
682,75,41039.0,32,34,11,137,179,61,45,1,32,0,467,In relationship,PG
683,10120,38946.0,84,116,6,82,6,6,41,1,59,1,257,In relationship,PG
684,6327,65777.0,87,565,32,435,28,32,54,1,47,0,1146,In relationship,PG
685,10142,66476.0,99,372,18,126,47,48,78,1,38,1,689,Single,PG
686,9826,86857.0,96,899,102,838,133,102,40,2,42,0,2114,Single,PG
687,1501,160803.0,21,55,16,1622,17,3,4,2,32,0,1717,In relationship,PG
688,10767,77845.0,40,760,40,480,0,40,26,0,25,0,1346,In relationship,PG
689,7279,69476.0,3,260,86,559,63,9,67,1,45,0,1044,In relationship,PG
690,7230,50611.0,98,459,0,24,6,0,4,2,54,1,493,Single,PG
691,143,61209.0,73,466,0,224,119,49,99,1,44,0,957,Single,PG
692,450,42315.0,90,67,15,80,17,11,80,1,56,1,270,In relationship,PG
693,9316,13084.0,29,2,0,7,3,7,10,1,62,0,29,In relationship,UG
694,6379,47570.0,3,67,1,20,0,2,31,1,65,2,121,Single,PG
695,9239,61923.0,94,92,4,18,3,3,6,1,53,2,126,In relationship,PG
696,8315,34824.0,65,4,2,11,2,0,4,0,19,0,23,Single,PG
697,2868,26518.0,33,20,1,28,3,3,2,1,65,2,57,Single,PG
698,10888,45938.0,46,273,11,178,62,83,29,1,53,0,636,Single,PG
699,1277,78468.0,29,434,22,388,104,22,34,0,54,0,1004,In relationship,PG
700,9977,78901.0,99,321,11,309,33,26,34,1,41,1,734,Single,PG
701,10196,71427.0,26,212,123,177,15,64,23,0,36,2,614,In relationship,PG
702,6384,71022.0,30,909,12,278,0,12,242,0,36,1,1453,Single,PG
703,8029,90247.0,27,1184,32,352,21,16,16,0,26,0,1621,Single,PG
704,968,41335.0,24,112,19,21,16,14,5,1,46,1,187,Single,PG
705,6988,71952.0,93,656,80,455,52,107,93,1,28,1,1443,In relationship,PG
706,4472,35682.0,34,23,0,8,6,2,18,0,44,1,57,Single,PG
707,6991,43185.0,88,537,6,42,16,6,30,1,63,1,637,Single,PG
708,3336,66375.0,96,712,0,45,0,0,191,1,66,1,948,In relationship,PG
709,4301,35178.0,10,23,1,13,2,2,18,1,43,1,59,In relationship,PG
710,1940,25252.0,26,1,3,4,2,2,6,1,28,1,18,In relationship,PG
711,1272,55250.0,49,664,58,83,32,0,66,2,49,1,903,Single,PG
712,1388,33249.0,11,6,10,21,19,14,42,1,39,1,112,Single,PG
713,1044,58398.0,44,299,5,201,21,21,49,1,61,0,596,In relationship,PG
714,6969,50272.0,75,99,13,66,43,8,4,1,32,1,233,In relationship,PG
715,10479,76618.0,64,749,40,294,121,160,147,2,39,0,1511,In relationship,PG
716,3619,87305.0,19,345,25,501,63,138,80,2,54,0,1152,Single,PG
717,1715,25851.0,45,9,4,18,7,5,5,1,36,1,48,In relationship,PG
718,10159,58710.0,77,440,81,368,0,122,174,1,44,1,1185,Single,PG
719,1463,45160.0,9,8,2,5,3,0,3,0,56,2,21,Single,PG
