,cleaned_tweet
181,May this be their mood as they watch the presidential result of 2023.   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen  Chimaroke Mr Eazi Tinubu  
182,Thiefnubu just want to answer a roll call as president while his goons eat up the buhari Rotten Administration leftover . Pple should take note of this.   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar
183, EndBadGoveranceInNigeria  endsars  Obidatti023          
184,"I've asked this question,n no one has answered me. So I asked again, enumerate BAT achievement in Lagos here one by one.   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa"
185,"I didn't nominate one name on the PCC list, the work you are doing individually is more important: Peter Obi tells the support group via Zoom.  PeterObi4President  ObiDatti023  OBIdientlyYUSful collect your PVC and vote wisely, vote Labour Party 👨‍👩‍👦  "
186,"Jakande built the Lekki-Epe Expressway in 1983, we used it untolled for 30+yrs.   Then came the locusts 🤔     Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa"
187,"When we need the government, they ignore us When the government needs our votes, they run to us They give us N2,000 to N10,000 to sell our votes Are you not stupid to vote for an evil politician?  Make this make sense, Vote WISELY, Vote  ObiDatti023 The Prophet, Wike, Iyanya,"
188,I thought people dat wear glasses are very intelligent until I met buhari and tinubu😒😂   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen
189, EndBadGoveranceInNigeria  endsars  Obidatti023  bat  
190,Your favorite slide?  OBIdientlyYusful   PeterObi4President2023   ObiDatti023  
191,If you are a student in Nigeria and you are waiting for someone to convince you about voting   sorry but not sorry '' you dey mad!!  ObiDatti023
192,Breaking: atiku says apc and pdp are corrupt political parties..vote wisely  PeterObi4President2023  ObiDatti023  
193,"I couldn’t hold my TEARS💔😭   “This is a country where only the criminals survive, if you are honest nobody calls &amp; wants to do anything with you. …You can imagine what they are doing to me.” -PO Nigeria MUST change for good🇳🇬  ObiDatti023  — The Prophet Kemi Wike  Chioma Ajuri  "
194,    Avoid Politrickal lies of selfish individuals/Media paid to deceive you.  Stop listening to hypocrites.  PDP 16 &amp; APC 7+ years of Evil govt is enough for you to think wisely.  This is where &amp; how to VOTE WISELY LP for  ObiDatti023 for a New better Nigeria.   ObidientKnight🤺  
195,Are you READY FOR THE OBIDIENT Car RALLY.   if you're READY.  OBIdientlyYusful  ObiDatti023  OBIDIENT  VotePeterObiForPresident2023  
196,Mood till Peter obi is declared the winner of 2023 general 🗳  ObiDatti023  
197,"As CBN is redesigning and introducing new naira notes, what will happen to old ones? Will they be burnt, buried or used as a give away? I'm just been curious, make una no call me olodo.    wike  ObiDatti023"
198,"I haven’t seen the official manifesto yet but Peter Obi is my President. ✨  Everyone, don’t forget to start collecting your PVCs. We’ve got this! 💪   OBIDIENT  ObiDatti023  ObiDatti2023  "
199,By their votes we shall know them  ObiDatti023  
200,Wise words from a decent man  ObiDatti023  
201,"You are in the South (East, South &amp; West) you have been crying bad governance for many years and now Peter Obi is running with an admirable track and you want me to beg you to vote for him. oga,madam vote for atiku,tinubu..my life will get better as I watch you cry  ObiDatti023"
202, ifeanyiisalive  Tinubu  BlackSherif  ObiDatti023    
203,"In Nigeria 🇳🇬 ,we believe that tap water in the kitchen is cleaner than tap water in the bathroom😂🤣. This life self.   AsuuStrikeUpdate . ObiDatti023  NigeriaFloods"
204,"    He will rebuild Nigeria’s military power, promote economic growth, and enhance its technological prowess with a view to improving Nigeria’s diplomatic influence in sub-regional, regional and global affairs.   ObiDatti023"
205,"The grassroot needs more men to work for  . People are tired of APC &amp; PDP but we can't convince all on Tweeter.  We had more 100 registered members of NNPP surrendered their membership cards to support  ObiDatti023 yesterday. After you Tweets, go out and get more men pls.  "
206,"Good woman brings good fortune, be that good woman, be deserving of that good woman.   BlackSherif   AsuuStrikeUpdate   ObiDatti023  "
207,"I Dey site dey work, value my time 😊  Naija  savageformular  Obidatti023"
208,If your broke. You don’t deserve a simcard.       Bro!!• nobody will call you  😂  AsuuStrikeUpdate  BlackSherif  Obidatti023  T20WorldCup  SUHOxMEW  onceabrokeboy
209,"Verified ✅ ✅ ✅  Peter Obi is NOT their mate!!!N When Reno, Dino, and Keyamo lay false claims, We show them Proof. Peter Obi is Legit.   The Prophet • South East •  HopeAgain2023 • INEC •  ObiDatti023  PeterObiForPresident  "
210,"Few days back, I made it public of my intention to resign my job to ensure winning my  LGA  for  . I have kept my promise. Modalities in progress to effect my desire. My kids must not suffer.  ifeanyiisalive   ASUUstrike    Chioma    Southeast    Obidients   ObiDatti023  "
211,We must go spiritual for PO.  English alone will not solve everything.   Obidients  ObiDatti023
212,Obidient is the new sai baba 🤣 The slogan is 🔥  ObiDatti023
213,Make Una come see oo   AsuuStrikeUpdate  AFazenda  ObiDatti023  agbainfluencer  NigeriaFloods  
214,  Quit listening to Evil paid influencers❌  Quit listening to hypocrite person❌  They're not interested in your well-being but in the money they receive from Tinubu &amp; Atiku (APC/PDP)  Go  CollectYourPVC &amp; prepare to VOTE WISELY for  Obidatti023 through the LP in 2023 Election  ✔️  
215,  🤣🤣🤣🤣🤣🤣🤣 just laughing at Obinna my friend.  Obidatti023 jare
216,"Dear OBidents,  For those asking for the handle of the New Youth Leader,  Prince Kennedy Ahanotu    is our current Acting Youth Leader of      PeterObi4President2023  ObiDatti023  "
217,"God, we thank You because You have helped us uproot bad governance and install a new one with Peter Obi as President  PeterIsBetter  ObiDatti023  "
218,  Peter Obi is the CEO of Nigeria  Obidatti023  PeterObiForPresident  
219,He has no place in our rebuilding process.   Vote Peter Obi and the Labour party   Vote  ObiDatti023    
220,"  In the morning you be disObidient a minute later you don turn motivational speaker. Help ur self stay one place and stop fluctuating like a network, you are confusing us...   ObiDatti023  RenosNuggets  Obidients"
221,"Criminals are celebrated for stealing people's money, while those who left money behind for their people are criminalised. What a country.  ObiDatti023  TakeBackNaija   VotePeterObiForPresident2023  "
222,"That feeling you get when you address the Incoming president of Nigeria as ""Your Excellency sir"" and he replys you either calling your name or addresses you as ""my brother or my sister"" chai! Respect is truly earned, and PO has earned it!  ObiDatti023   CollectYourPVC"
223,"A dollar is to N900 in a country that is solely dependent on importation. For all those that are still campaigning for the ones that put us here, please rethink.  ObiDatti023  HopeAgain2023"
224,  What do you have to say.  . . .   .  look into this matter. AsuuStrikeUpdate. deprem. GodofWarRagnarok. NigeriaFloods. Campingworld. ObiDatti023. OBIdientlyYusful  
225,"Secondary school reunion, una put location for Canada.  Na there our school be dey?     ifeanyiisalive  Chioma  AsuuStrikeUpdate  2023Elections  OBIdientlyYusful  OBIDIENT  ObiDatti023  businesstips  Successful"
226,"Let keep praying, it's also a spiritual welfare. You are not alone  . I m praying earnestly for him and this race. We shall be victorious. Please lets pray for him with psalm 20. Prayer is the key.  PeterObi4President2023   ObiDatti023   AsuuStrikeUpdate  "
227,Cartoon Flakes  ObiDatti023  
228,Newly Built Apartments for Sale ‼️‼️  📍Location: VGC Extension Lekki  Title: Governor's Consent  2 Bedroom Apartment =  45million 3 Bedroom Apartment =  50million  For more info 07062619366   AsuuStrikeUpdate  JumiaBlackFriday22   2023Elections   ObiDatti023  
229,Imagine that every youth in Nigeria including those with PVC &amp; those without PVC will do this one important job of convincing their parents to vote for  ObiDatti023 for president. Vote for labour party. It is possible guys.  
230,"I have never claimed to be a poor man. I am a comfortable man anywhere on the surface of the globe"" Senior Man Mr. Peter Obi Nigerians, Vote Wisely.  Jonathan • INEC •  ASUUstrike • Buhari • Funke Akindele • South East • Cold War  ObiDatti023  "
231,"    My brother this is Nigeria, let wisdom and discretion guide your action. You remember Yinka Odumakin, Malafia &amp; Ariyo? The terrain is very rough for those who are hungry &amp; thirsty for righteousness. Let’s hope  ObiDatti023 becomes a reality, then we can proclaim political liberty"
232,"If you know, you know.   is the next president. Stop arguing with dead beats.   Nigerians are ready to vote. In the past politicians write results.    ObiDatti023  OBIdientlyYusful"
233,"Fellow Nigerians, Atiku   must not win this election. If this dude wins, you're commonwealth is gone.            jonathan  Chioma  reno  OBIdientlyYusful  ObiDatti023  Obidients  Obidients  "
234,One Agbadorian just told us on national tv that the law of the land allows for the operations of agbero in Lagos state. And some of us still think APC can do any better? Go get your PVC and vote wisely.  Jonathan  Ajuri  ObiDatti023  ObiDatti2023
235,"If we're to vote based on HEA TO SERVE, LOVE FOR EDUCATION AND COMPETENCE, it should be like this 1. PO 2. KW 3. BAT 4. AA  Flip it around for other negative reasons.             AsuuStrikeUpdate  ObiDatti023  Obidients"
236,  No doubt  ObiDatti023
237, EndBadGoveranceInNigeria  endsars  Obidatti023    
238,Its time to take back Nigeria by supporting    PeterObiForPresident2023  ObiDatti023  The first step of many.....
239,This blew in my face like a time bomb.Ododo oro re ooooo   VoteLP  ObiDatti023  
240,Has anyone collected their PVC this November in festac 🤷‍♀️  POForPreesident  ObiDatti023
241,We cannot accept any intimidation by anybody on Nigerian youths especially the    OBIdientlyYusful supporters. Lagos Police must stop embarrassing   and others. We are resolute in this project.   4 President.  ObiDatti023  
242, EndBadGoveranceInNigeria  endsars  Obidatti023  
243,    So fucking true!  ObiDatti023 ✊🏽
244,"Una they call us omo ale Yoruba just because we are supporting    Taani baba nla ku baba yin dowe fun, to fe kajo akogbeyin. Eyin agbalagba  jati jati yi.   ObiDatti023  OBIdientlyYusful      "
245,"    GEJ also alleged him to have masterminded the kidnap of chibok girls, yet he didn't come out to debunk it, to even think that the principal as at time later became a 2x commissioner in borno...   We warned them buh we will never back off  ObiDatti023"
246,I miss Peter Obi zoom session yesterday with different support groups and i have gone through it and was happy he did great as expected.  Peter Obi campaign is not the regular type we are used to.  Vote wisely. Vote  ObiDatti023
247,  See the real ones here come 2023  ObiDatti023  
248,  will create a new Nigeria where Hausas igbos and Yorubas will marry each other Support a new Nigeria project just retweet  PeterObi4President2023  ObiDatti023   EndSARS  LabourParty  
249,  Vote wisely!. Where ever you are pls talk to your friends and family to get their PVCs if they have registered. Our vote is our power!  PeterObi4President2023   ObiDatti023  
250,"Don't allow people like   and   or even   to deceive. 2023 is a fight for better Nigeria for poor people like us. Don't allow the few rich tribe decide your fate,  Vote Wisely Vote  ObiDatti023  Vote    "
251,Nigerian youth and women this is your envident you have against   that you sat together to discuss how to win this election together. He cannot ask you where were you or what do you contribute to his wining if he becomes the president.  ObiDatti2023  ObiDatti023  
252,Nigerian next President after PMB  asiwaju  TinubuShettima2023  Tinubu  BAT  ObiDatti023  AtikuOkowa2023  
253,"Mokwa is OBIDIENT. More materials will go a long way to flush out enemies of Nigeria who capture power and enslave Nigerians. We need public address system, more posters, more stickers, banners, &amp; phone stickers. Kindly  PeterObi  PeterObiForPresident  ObiDatti023    "
254,"        We as a matter of urgency should not be only deliberate about voting   , we have to be very intentional about wanting anew nation. Your vote is ur power. Collect your PVCS, talk to someone around you too.  VoteWisely   ObiDatti023   PeterObi4President2023   "
255,Reno speaking the truth..  Let this video trend guys.   Reno  ObiDatti023   Nigeria  
256,vip guys always enjoying.. we not perfect but we make sure there is smile on their face    cassipredict  bettingtips  football  prediction  sports  bettingexpert  bet  Obidatti023  BETTING  
257,Only the sincere and truthful are being check again and asked questions but criminals are allowed to go freely -PO zoom meeting  ObiDatti2023  ObiDatti023
258,"A new Nigeria has began. Nigerians speak to their president directly, opportunity youths have being looking for.  ObiDatti2023  ObiDatti023  PeterObi4President2023  "
259,"Tell them make they hear, Lagos can not remain BAT empire anymore. To win here is a task that must be done  Obidatti023  "
260,Jesus please come and do it again. Over to you. APC has done their best!!!!!! They did not get it right at all.  ObiDatti023  Obidients  PeterObi4President2023  
261,Your writing skills and mental reasoning are top notch. Can't compare with any other. Thank you.  ObiDatti023  OBIdientlyYusful  
262,"What can we ship for you, we are open 24/7, we deliver to your doorstep within 3-5 business days, we are the cheapest and most reliable. A trial will convince you.   ASUUstrike  ObiDatti023  ObiDatti2023  funkeakindele  "
263, chioma  ASUUstrike   nyscpop  funkeakindele   ObiDatti023   T20WorldCup   30BG  
264,"  Obi, let's assume you become the president of Nigeria, is it how you are going to spend the nations money traveling throughout the world meeting with World leaders? Of what benefits will this be  ObiDatti023  OBIdientlyYusful  Obidients"
265," Obidients !!! YES WE CAN ! It is no longer news, you resilience, determination and focus to have Nigeria work again is possible through  ObiDatti023. Don't get dirty with them just be prepare with your PVC."
266,"Congratulations your excellency, God will do it for my country Nigeria  ObiDatti023  "
267,"Insecurity has ravished ""Northern Nigeria"" &amp; every part of the country as a whole. The same people who have subjected us to untold hardship &amp; abject poverty wants votes again &amp; we say a big NO to APC &amp; PDP!  VoteWisely   ObiDatti023  ASUUstrike ASUU Ajuri  BeatSapawithJumia Wike  "
268,"Good morning everyone , LETS ALL GO GET OUR PVC NOW .    ObiDatti023  INEC  OBIdientlyYusful  APC  PDPNewGeneration  LabourParty"
269,“I am contesting for this election because I am the most qualified.” - Peter Obi. ✅ My NEXT President addressing  ObiDatti2023 support groups on Zoom. May we never miss this MAN.  ObiDatti023 🇳🇬     
270,Let me assure you that our economy needs disruptors in order to usher in new modus operandi et vivendi.  These are assuredly the reason why we have Peter Obi and Ahmed Datti on board.  Do not vote outside this duo  ObiDatti023 is the focus
271,"What's  This is so evil and must stop now,   PoliceBrutality   obiflagboy  ObiDatti023   lagos4all  "
272,"It a beautiful day to remember your unconditional love for us, oh God. Receive our praise, worship and thanksgiving. We thank You for Peter Obi and Ahmed Datti, your instruments of positive change in Nigeria. Watch over us and keep us safe from the evil ones, amen.  ObiDatti023"
273, ObiDatti023  
274,*GOOD EVENING OBIDIENTS* THE LABOUR PARTY/OBIDIENT MOVEMENT RALLY  *SURULERE OBI-DATTI MEGA PRESENTS AGUDA/IKATE RALLY*  DATE: 12TH NOV. 2022  As you go to church tell ur friends and families in church As you go to mosque tell your friends and families in mosque   ObiDatti023  
275,"Follow this link to join my WhatsApp group:   ObiDatti Vanguard For Equity and Justice.  Peter Obi  OBIdientlyYusful  ObiDatti023  Obidients  ObiDatti2023  OBIDIENT.  Labour Party: Forward Ever.  LP: Papa, Mama, Pikin. ObiDattiWay."
276, ObiDatti023  No tiredness in obidients we move 🏃🏃🏃🏃🏃🏃🏃.
277,   VoteWisely make you no go sell your  Vote for  Old Note..  ObiDatti023  AtikuOkowa2023  Naira
278,This the analysis of the statement of shut up that Tinubu said.  ObiDatti023  PeterObi4President2023  OBIdientlyYusful  
279,If you're a Northerner and you want a better Nigeria you must listen and agree to this. WATCH THIS VIDEO.  ObiDatti023  Obidients  OBIdientlyYusful  Nigerians  AtikuOkowa2023  BAT2023  
280,      I'm always OBI-dient ❤️💚✊  ObiDatti023
281,"  Ladies and Gentlemen, I present to you, the next President of 🇳🇬 from May 2023. H.E.  PeterObi  ObiAhmed2023  ObiDatti023  "
282,Father and Son...Kobillion Jr  billionaire  FatherAndSon  ObiDatti023  ASUUstrike  
283,Am contesting this Election because am the most qualified - Peter Obi   spoke with the support group via zoom.  ObiDatti023  President  nglabourparty  
284,"Is 216 Naira to 1$ okay? I really wonder what goes on in  's mind when he sees his team's campaign picture To those of us who do not have a PVC,who didn't come out to vote or motivated others to do so We are the Real Cause  NigeriaDecides2023  ObiDatti023   OBIDIENT  "
285,"We've suffered so much as  a nation, Dear God, heal our land and give us leaders after our own hearts. Amen 🙏   vote4peterObi     ObiDatti023  "
286,My President says we should meet everyone FORTNIGHT 3RD &amp; 17TH Can your candidate ever?   Peter Obi Yusuf Datti Labour Party   ObiDatti023  OBIdientlyYusful  
287,With the next President of your country!!!  ObiDatti023  OBIdientlyYusful    
288,If it’s really worth doing? Let’s do it well. Time to get to work  lazyyouth    ObiDatti023   ObiDatti2023  
289,"    is that you? Cameleon Omokri. U don't have choice, you are OBIdient.  ObiDatti023  OBIdientlyYusful   LabourParty   Obidients   ObiDatti2023  "
290,"Currently watching the Zoom meeting btw Peter Obi and the Obidient Movement Support Groups and it has been really enlightening and also well coordinated,all the speakers are eloquent and asking the right questions and PO is doing justice with his answers 👏🏾👍🏾  ObiDatti023"
291,The 3hrs zoom meeting with Mr. Peter Obi our incoming President Lord's willing was lit. I'm glad to part of it. We'll do it again in the forth night...  ObiDatti023  LP
292," PeterObi has just reignited the  OBIDIENT movement.   The humility, the integrity, the conviction. What a leader 👑 Peter Obi, my idea of leader💯  PeterObi4President2023   ObiDatti023"
293,After meeting with   we were proud enough to sing our national anthem. I’m very proud to call myself a Nigerian because Peter Obi will be my president.  PeterObi4President2023  ObiDatti023  LabourParty  
294,Family Meeting was FUN !! and interactive with H.E      ObiDatti023  ObidientZoommeeting !!!  
295,"After finishing this wonderful moment with the incoming President Peter Obi on Zoom, na MC Oluomo people for Oshodi and yaba market women come sing the national anthem... 😄😄😄😄  ObiDatti023   ObiDatti2023   Obidientspace"
296,It was an honour to have participated in this night zoom meeting/interaction with his Excellency  .   Obidatti023  
297,Carry us dey go.   obi carry us dey go for better naija.  Obidients all de way from north. Fagge local government kano state.  ObiDatti023  OBIdientlyYusful  Obidients  
298,"  is winning the 2023 Presidential elections, go and verify.  Kaduna state Labour Party chairman, All leaders of  ObiDatti023 support groups were present for another fruitful and strategic meeting that gave birth to a new set leaders for the group.  Obidients  kaduna  "
299,E be like say His excellency Mr.Peter Obi don hire boys craft dem captions n comments_ppoints to dey bomb all of us o.. which one bdis again na🧐   PeterObi4President2023   PeterObiForPresident  ObiDatti023  NigeriaDecides2023  PoliticsLive  Tinubu  Atiku  Buhari  PeterObi  
300,Make I just catch any youth wey wan vote tinubu   ObiDatti023  Obidients  
301,  thank you for answering my question! I trust you will restructure the Nigerian embassies worldwide 🙏🏾  ObiDatti023
302,Can we vote Obi in 2023? Can we please take back our country?  Shettima is a disgrace.    ObiDatti023
303,    Don't be tire sir... More strength.  I think it high time all  ObiDatti023  declare a time or day and pray for strength for our better obi
304,So glad listening to this video make sure you watched this before you scroll down                WakeUp  ObiDatti023    VotePeterObiForPresident2023  
305,"Peter Obi said “my government is for children and women”. My president, I Stan   ObiDatti023  Obidients"
306,"  Nigerian govt. is like the Nigerian army. When it comes to good communication and propaganda, they hire the best hands and sideline the information Minister. When it comes to positions that will pay well, they look for their kinsmen and mediocres.  ObiDatti023 reach ur potential"
307,"    Doubly sure. Polling Unit 32, Ward Iju, Ado-Odo/Ota. This Polling Booth na landslide e go be. Am not joking with 2023, and I carry am for head. Next time when we tell so-called delegates wetin we want dem go pay attention.  ObiDatti023  VoteWisely   NigeriaDecides2023"
308,Anambra state once known as home base of Godfatherism  was Liberated through Peter Obi's effort. Rejoice dear Nigerians Okwute is coming.  PeterObiForPresident   ObiDatti023
309,Imagine a Nigerian Presidential candidate that actually talks to us! Ha I am 100%  ObiDatti023  PeterObi4President2023  
310,“I am contesting for this election because I am the most qualified.” - Peter Obi. ✅ My NEXT President is currently addressing  ObiDatti2023 support groups on Zoom. May we never miss this MAN.  ObiDatti023 🇳🇬  — Seun 250k in Lagos Davido Tinubu and Shettima Ibadan Wike Mr Eazi  
311,Zaben 2023: Gwamnan Nasarawa Ya Ce Bai Ma San Wanene Ɗan Takarar Gwamna Na   A Jiharsa Ba   Hausa  ObiDatti023  LabourParty    
312,"Meaning you will buy up Nigeria refineries if elected president, given your role &amp; style as  VP. In charge of privatization, you were busy buying up Public assets for yourself, which was a core issue that brought about the fight with your principal.  ObiDatti023  "
313,Wanene Peter Obi?  Who is Peter Obi? Hausa translation  by Nana-Baba Mega Media   Pls Just Retweet    PeterObi4President2023  ObiDatti023  _______ • Abike Dabiri • Obasanjo • Yul Edochie • Ibadan • Wotowoto • Funke Akindele • PANT OFF • Labour Party  Arewaforpeterobi  
314,  carry APC mata for her head mtchhhww...  EndBadGoveranceInNigeria  endsars  Obidatti023  
315,  🤡👎  EndBadGoveranceInNigeria  endsars  Obidatti023  
316,The affliction won't come the second time  ObiDatti023  
317,"The Possibilities of Mosaic Tiles is Endless, just think of it, and we would bring it to life😍  Graphics design done by     Davido Chioma ASUU FG PANT OFF  ObiDatti023  "
318,   what is the meaning of this?   ObiDatti023   PeterObi4President2023   PeterObiForPresident2023  
319,  has always been at the forefront of what's best for the nation.   ObiDatti023  Nigeria    
320,This is what Shettima is...A Boko Haram Leader/sponsor! Dear Nigerians run for your dear lives from APC 🏃🏃🏃  VoteWisely  NigeriaDecides2023  ObiDatti023  EndSARS  
321,"This is Shettima's track record and he has the audacity to throw shades at Peter Obi? Dear Nigerians,we must fight with bulldog tenacity against a future like this! God forbid!  VoteWisely  NigeriaDecides2023  ObiDatti023  "
322,"💯...Those supporting APC have their brains suspended at this point! Like,are they proud of APC performance this past 7years?  NigeriaDecides2023  VoteWisely  ObiDatti023  EndSARS  "
323,   ObiDatti023 cares
324,Relentlessly we will fight Relentlessly we will protect our vote  Relentlessly we will protect our freedom  ObiDatti023  OBIdientlyYusful  thewomanking  TheWomanKing
325,"Apparently , E had consulted for the Obi Datti Campaign on fintech on Monday before engaging the Tinubu campaign on Tuesday.     They didn’t even bother to make noise of it.     Peter Obi is always ahead of them.   ObiDatti023   PeterObi4President2023  "
326,"  and   are Presidential candidates who don't belong to any Tribe politically. Obidients are a Tribe-less group that is formed out of Love, Unity and Sanity to save our Nation. We are a Family, we are one❤❤❤  ObiDatti023  Obidients   PeterObi4President2023  "
327,"""We fight not just for today but for the future  We are the spear of victory We are the blade of Freedom""  OBIdientlyYusful  ObiDatti023     TheWomanKing  "
328,"Dear Nigerians,this will get worse if you make another mistake to vote Apc again! If you don't want to be a life prisoner or slaves in Nigeria, please vote wisely oo  NigeriaDecides2023  ObiDatti023  EndSARS  endpolicebrutality  "
329,"Seems the guy already has a team, unfortunately the team won't be playing at Aso Rock come 2023  ObiDatti023   OBIdientlyYusful  "
330,"If you are a young  Lion in  Nigeria  and you have not joined the  ObiDatti023 train, you are still snoring. Obi Wike Yul  "
331,"If the manifesto being paraded by Tinubu could do the magic, what stopped them from implementing it now to savage what is left of our economy?  ObiDatti023"
332,Am waiting ooooh  ObiDatti023  
333,"No right thinking Nigerian should talk good of APC,let alone to vote the incompetent party!  VoteWisely  NigeriaDecides2023  ObiDatti023  "
334,"Dear Nigerians, please vote wisely next year oo  VoteWisely  OBIdientlyYusful  ObiDatti023  NigeriaDecides2023  "
335,  Hope ke? Nigerians know who fills them with hope and it is certainly not a foul-mouthed thug like Shettima. He lacks the decency and comportment for a high office.  Obidatti023  VoteWisely  
336,   France to win   Buhari  byelection2022  ObiDatti023  AriseTV  Jagaban  Tinubu  WorldCup2022
337,"I am not where I want to be right now, but thank you lord because I don't have to depend on campaigning for APC to survive...   obidientmovement  ObiDatti023"
338,This is the only reason APC and PDP loyalists are ready to die just to make sure Peter Obi doesn't win this election But for me and you who doesn't gain from any Party the only chance we have at getting a better living is Peter Obi Vote wisely Vote Peter Obi   ObiDatti023  
339,What do you think?  ObiDatti023  BAT2023
340,"Imagine If Peter Obi (SouthEast-Igbo) is the President and after 8years in power, he wants to handover to Ifeanyi Okowa (SouthSouth-Igbo), obviously the way the (North) will react to such arrangement will be unimaginable. PVC  ObiDatti023  TakeBackNaija  "
341,"Imagine If Peter Obi (SouthEast-Igbo) is the President and after 8years in power, he wants to handover to Ifeanyi Okowa (SouthSouth-Igbo), obviously the way the (North) will react to such arrangement will be unimaginable. PVC  ObiDatti023  TakeBackNaija  "
342,"If Amanda Azubuike was in Nigeria, the bureaucratic bottlenecks in the Nigerian military wouldn't have allowed her become a general.... OBIdientlyYusful  ObiDatti023  "
343,This definitely needs to go viral  ObiDatti023  
344,"You should join the movement Shatima, this is a movement of Nigerians, by Nigerians &amp; for Nigerians.  This is the movement that will birth a new Nigeria that we all believe in so my bro Join  ObiDatti023 you won't regret it insha Allah  "
345,  Like u did Alscon in  's senatorial district  Vote for Peter Obi When  NigeriaDecides2023   ObiDatti023   
346,"  You're a criminal, you want to sell that's the only thing you are good at, corrupt politician you can never be president of Nigeria 🇳🇬   ObiDatti023"
347,"  👏👏👏👏👏👏Great!!! I that's what I suggested earlier. Chai God please crown   our king/president come 2023. Lord please frustrate, distablise &amp; scatter every plan &amp; strategy of evil ones to rig or steal votes at the presidential election in Jesus Name amen.  ObiDatti023"
348,Who else is listening to what this guy is saying right now on Channels Tv...?   channelstv  PeterObi4President2023   PeterObiForPresident   PeterObi   ObiDatti023   naijaforum  
349,So help us oh LORD.🙏🙏🙏 viralpost  Trending  FYP  ObiDatti023  OBIdientlyYusful  Obidients  obidientmovement  mufasatundeednut  
350, Think  PeterObi4President2023   ObiDatti023   Davido  
351,Is Nigeria cursed or are we the cause ?   ObiDatti023
352,                        It would seem Atiku's home state is among the top poorest states and among the top in out of school kids too.  Whatever intervention he made was like APC's achievement - only on the news.  VoteWisely  Obidatti023  
353,Pa Ayo Adebanjo   was also present at  .book launch today titled The Challenges of Good Governance and Leadership in Nigeria.  Pa Ayo is still strong at 94. God bless you sir.        ObiDatti023   OBIdientlyYusful  
354,"  I think dre are NLC AND TUC member in every LGA in Nigeria, this people own LP and their members should help more in doing some of the village to village campaign for their party. My family and I still remain OBIdient and YUSuful...  OBIDATTI023"
355,        God bless the soldiers for  ObiDatti023
356,Vote wisely  hausa  PeterObi4President2023  ObiDatti023  
357,Tinubu will travel more than Buhari if voted in. That's why we are saying  VotePeterObiForPresident2023   PeterObiForPresident  ObiDatti023  
358,"We have only one choice,we as a people will make our voice heard loud through our votes.   remains our only HOPE  byelection2022  ObiDatti023  PDPRecoveryPlan  "
359, PeterObi4President2023  ObiDatti023  
360,  I can't stand for any mistakes 2023  OBIDATTI023  Save9ja2023  PeterObi4President2023  
361, EndBadGoveranceInNigeria  endsars  Obidatti023    
362, Nigeria  NigeriaDecides2023  ObiDatti023  OBIdientlyYusful  
363,"Time to burst all the lies and manipulations, time to rescue Nigeria for all Nigerians  OBIdientlyYusful  ObiDatti023  byelection2022    "
364,"The flight ticket/cost from lagos to London as at 2014 was N150k, how much is it today?🤔  VoteWisely  Vote for good governance.  ObiDatti023"
365, Obidatti023  
366,DM for more info… Wike  ObiDatti023 Dollar Seyi  
367,Fuel scarcity 😩…..oil producing nation 🇳🇬 in the mud 🤦‍♂️ citizens fighting for their own natural resources    ImranKhan  byelection2022  ObiDatti023  imrankhanPTI  PANT OFF Obasanjo Funke Akindele  
368,  Insha Allah... It's POssible... Please this should be translated to Hausa language and aired on every TV station in the north           TakeBackNaija  ObiDatti023
369, WeCantContinueLikeThis  ObiDatti023  NigeriaDecides2023  
370,"  That's a Covenant prayer and God honors such. Because He knows the heart of everyman, He keeps to the convenant.  ObiDatti023"
371, 𝐎𝐬𝐮𝐧𝐃𝐞𝐜𝐢𝐝𝐞: 𝐎𝐲𝐞𝐭𝐨𝐥𝐚 𝐭𝐞𝐧𝐝𝐞𝐫𝐬 𝐟𝐨𝐮𝐫 𝐚𝐝𝐝𝐢𝐭𝐢𝐨𝐧𝐚𝐥 𝐋𝐆 𝐫𝐞𝐬𝐮𝐥𝐭𝐬 𝐚𝐭 𝐭𝐫𝐢𝐛𝐮𝐧𝐚𝐥   ObiDatti023   TakeOff      
372,Polygamy dey sweet oo you fit just wake up arrange 3sum no time who nor gree make she go her papa house  Davido  wizkid  ObiDatti023  uel  byelection2022
373,How on this earth do   move from one ☝️ place to another with a blink of an eye this man 👨 self i hope 🤞 is not what im thinking 🤔  ObiDatti023  
374,       Respond to your dm o  Obidients  ObiDatti023  ObiDatti2023  PAKvsSA
375,"  will win the presidential election of the federal republic of Nigeria, come February 2023.  ObiDatti023"
